PIN,DeviceID,Assessment Name,Inst,RawScore,Theta,TScore,SE,ItmCnt,DateFinished,Column1,Column2,Column3,Column4,Column5,Language,Computed Score,Uncorrected Standard Score,Age-Corrected Standard Score,National Percentile (age adjusted),Fully-Corrected T-score,InstrumentBreakoff,InstrumentStatus2,InstrumentRCReason,InstrumentRCReasonOther,App Version,iPad Version,Firmware Version
MonCon155,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,21,,,,19,8/7/18 17:14,,,,,,en-US,,117,112,79,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon156,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,16,,,,15,8/9/18 15:00,,,,,,en-US,,97,85,17,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon157,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,18,8/8/18 14:37,,,,,,en-US,,109,105,63,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon158,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,18,9/6/18 17:04,,,,,,en-US,,109,108,71,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon159,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,9/6/18 15:45,,,,,,en-US,,105,100,50,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon161,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,20,,,,17,8/15/18 15:25,,,,,,en-US,,113,107,68,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon162,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,21,,,,19,10/12/18 11:04,,,,,,en-US,,117,112,79,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon163,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,10/11/18 15:04,,,,,,en-US,,105,96,40,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon164,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,17,,,,17,10/19/18 13:03,,,,,,en-US,,101,91,28,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon166,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,18,10/19/18 10:59,,,,,,en-US,,109,103,57,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon167,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,10,,,,12,10/26/18 13:47,,,,,,en-US,,74,65,1,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon168,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,17,,,,17,11/2/18 16:34,,,,,,en-US,,101,97,43,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
Moncon169,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,17,,,,17,11/12/18 18:55,,,,,,en-US,,101,115,84,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
Moncon170,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,13,,,,15,11/5/18 18:30,,,,,,en-US,,86,93,33,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon171,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,11/12/18 19:24,,,,,,en-US,,105,115,84,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon173,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,10/30/18 19:41,,,,,,en-US,,105,95,38,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon175,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,20,,,,17,11/3/18 12:08,,,,,,en-US,,113,107,68,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon176,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,14,,,,14,11/14/18 18:17,,,,,,en-US,,90,82,12,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon177,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,11/15/18 16:02,,,,,,en-US,,105,97,43,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon178,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,23,,,,18,11/19/18 12:54,,,,,,en-US,,124,124,94,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon179,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,20,,,,17,11/16/18 14:50,,,,,,en-US,,113,107,68,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
Moncon180,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,21,11/20/18 13:07,,,,,,en-US,,109,101,54,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon181,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,20,,,,17,12/12/18 18:57,,,,,,en-US,,113,124,94,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon182,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,13,,,,15,11/28/18 16:35,,,,,,en-US,,86,77,6,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon183,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,21,11/28/18 18:31,,,,,,en-US,,109,102,57,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon184,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,17,,,,17,12/5/18 16:46,,,,,,en-US,,101,102,54,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon185,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,19,,,,18,12/8/18 12:04,,,,,,en-US,,109,110,76,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon186,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,21,,,,17,12/8/18 13:23,,,,,,en-US,,117,115,84,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon187,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,15,,,,16,12/12/18 16:51,,,,,,en-US,,94,81,10,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon189,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,25,,,,17,12/6/18 16:40,,,,,,en-US,,132,143,99,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon190,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,11,,,,14,12/6/18 18:09,,,,,,en-US,,78,86,18,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon191,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,20,,,,17,1/29/19 19:32,,,,,,en-US,,113,108,70,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon192,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,17,,,,17,1/24/19 16:40,,,,,,en-US,,101,110,75,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon193,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,16,,,,15,12/19/18 12:51,,,,,,en-US,,97,85,17,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon194,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,1/24/19 11:23,,,,,,en-US,,105,96,40,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon196,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,17,1/27/19 12:03,,,,,,en-US,,105,98,46,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon197,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,22,,,,19,1/23/19 13:53,,,,,,en-US,,120,121,92,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon198,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 2,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,18,,,,16,1/25/19 15:36,,,,,,en-US,,105,97,41,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon199,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,21,,,,19,1/23/19 19:31,,,,,,en-US,,117,112,79,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon200,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,23,,,,18,2/1/19 17:13,,,,,,en-US,,124,124,95,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon201,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,20,,,,17,2/11/19 17:44,,,,,,en-US,,113,117,87,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon202,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,14,,,,14,2/22/19 12:02,,,,,,en-US,,90,80,10,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon204,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,16,,,,15,5/4/19 13:23,,,,,,en-US,,97,93,33,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
MonCon206,F847F90A-203F-40E3-A83F-02CB9939480B,Assessment 1,NIH Toolbox List Sorting Working Memory Test Age 7+ v2.1,17,,,,17,6/9/19 15:16,,,,,,en-US,,101,107,67,,2,3,,,1.17.1822,iPad mini 2 (WiFi),11.4.1
