StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q4,Q5,Q7,Q9,Q10,Q11,Q12,Q14,Q13,Q15,Q16
2018-07-31 12:46:14,2018-07-31 14:52:37,IP Address,128.122.114.135,100,7583,True,2018-07-31 14:52:38,R_3hliNtp3FWomMO7,,,,,40.731704711914,-73.988502502441,anonymous,EN,MonCon108,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,counted how many times each instance occured,Other,Easy,Very boring
2018-07-31 15:15:49,2018-07-31 15:52:02,IP Address,216.165.95.164,100,2172,True,2018-07-31 15:52:02,R_24It0WtuhJOOmlg,,,,,40.731704711914,-73.988502502441,anonymous,EN,MonCon129,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,"Hit the same color twice, and another color twice- if they matched up to the designated color-island paring, it was the color pilot. ","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.,Chose the same color plane over and over again,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew",Easy,A little fun
2018-07-31 15:08:08,2018-07-31 16:17:28,IP Address,128.122.114.135,100,4160,True,2018-07-31 16:17:29,R_1l47s59H8c5q8LE,,,,,40.731704711914,-73.988502502441,anonymous,EN,MonCon127,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,No,,"On the two choices given, one plane would go to the same island whichever pilot was flying. So I'd chose the other plane to decide which pilot was flying. I also counted the frequency of 2 chances.","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.",Easy,Very fun
2018-07-31 16:46:32,2018-07-31 17:59:35,IP Address,128.122.114.135,100,4383,True,2018-07-31 17:59:35,R_2QgpG2WSZJyPbsD,,,,,40.731704711914,-73.988502502441,anonymous,EN,133,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_eQaHAXU7QfllDs9," The route of the pilot to the right was easier because if I kept selecting the right pattern I could tell right away. However, with the pilot to the left when it began changing routes it threw me off a little bit.","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Decided which pilot was flying based on whether or not you received treasure,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew",Just right,A little boring
2018-08-01 07:23:38,2018-08-01 08:31:53,IP Address,128.122.114.135,100,4094,True,2018-08-01 08:31:53,R_T5FMPh8canNiC6R,,,,,40.731704711914,-73.988502502441,anonymous,EN,115,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,No,,"if i was on the island with a palm tree, i would choose orange, with the volcano i'd choose pink, and with the lighthouse i'd choose green. if i moved to the island corresponding to the colors and not the pattern, i would know who is flying. ","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew",Easy,A little boring
2018-08-01 07:26:32,2018-08-01 08:41:04,IP Address,216.165.95.136,100,4472,True,2018-08-01 08:41:05,R_3QY3H5VVUDxcKWe,,,,,40.731704711914,-73.988502502441,anonymous,EN,114,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_20tjmbukTsjjNNX,Yes,IM_8wCDeTdgCWcZdL7,"i did have one strategy. it was that when i knew it was the color pilot, when it was both of them if ti was the volcano and green plane and either way it would have been the lighthouse.","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew",Just right,A little fun
2018-08-01 09:15:24,2018-08-01 10:36:35,IP Address,128.122.114.135,100,4871,True,2018-08-01 10:36:36,R_3pbgf0fhcWYWtrC,,,,,40.731704711914,-73.988502502441,anonymous,EN,122,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,No,,"for example, when at volcano, would choose pink plane. if went to palm tree, knew color pilot was flying. if went to lighthouse, the route pilot was flying. if it went from the volcano to volcano because of the air traffic controller, i would do the same thing again.","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.",Easy,A little boring
2018-08-01 11:28:35,2018-08-01 12:46:44,IP Address,128.122.114.135,100,4688,True,2018-08-01 12:46:45,R_1eVLtaChL3YgDKp,,,,,40.731704711914,-73.988502502441,anonymous,EN,107,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,"If the orange plane flew to the island with the lighthouse, the green plane flew to the island with the valcano, and the pink plane flew to the island with the palm trees I knew it was the pilot that chose by the color of the planes. If I were on the island with the lighthouse and took any plane then flew to the island with the palm trees, if I were on the island with the palm trees and took any plane and went to the island with the valcano, and if I were on the island with the valcano and took any plane then went tom the island with the valcano I knew the pilot who had a special  route was flying the plane. Then I would tell the passengers what island they were going to.","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.",Easy,Fine
2018-08-01 11:31:12,2018-08-01 13:04:33,IP Address,216.165.95.160,100,5600,True,2018-08-01 13:04:33,R_wS09a92hXCbLSMN,,,,,40.731704711914,-73.988502502441,anonymous,EN,MonCon117,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,"I didn't really follow a strategy, I just tried to memorize the pilots' layouts from the beginning of the game. It was hard to use a strategy because sometimes the pilots wouldn't follow the layouts.","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.",Hard,Very fun
2018-08-01 14:54:28,2018-08-01 16:52:21,IP Address,128.122.114.135,100,7073,True,2018-08-01 16:52:21,R_2ZK7IMIJfydog2R,,,,,40.731704711914,-73.988502502441,anonymous,EN,MonCon142,IM_74jBTzPDkGoDxM9,IM_4ZoANqBWGZ4sYXX,IM_20tjmbukTsjjNNX,IM_4ZoANqBWGZ4sYXX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,Yes,IM_eQaHAXU7QfllDs9,"the strategy i used was if it wasn't the route, I would press the color pilot. ","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Decided which pilot was flying based on whether or not you received treasure",Hard,A little boring
2018-08-02 08:52:30,2018-08-02 10:01:04,IP Address,216.165.95.150,100,4114,True,2018-08-02 10:01:04,R_zd4QPJM2ayURJzr,,,,,40.731704711914,-73.988502502441,anonymous,EN,143,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,Select a combination of island-color that is not associated (for ex. volcano - pink),"Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.",Just right,A little boring
2018-08-02 11:11:35,2018-08-02 12:38:33,IP Address,128.122.114.135,100,5217,True,2018-08-02 12:38:33,R_2qlp7YUuukWL6Wg,,,,,40.731704711914,-73.988502502441,anonymous,EN,116,IM_5byiwnyUq5SkLdP,IM_20tjmbukTsjjNNX,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,"The pilot with the different colours, I matched each destination with a colour to see whether it would land at the location or not.","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.,Chose the same color plane over and over again,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew",Just right,A little fun
2018-08-02 13:28:41,2018-08-02 14:24:31,IP Address,128.122.114.135,100,3350,True,2018-08-02 14:24:31,R_2y9smzzYjd69zoz,,,,,40.731704711914,-73.988502502441,anonymous,EN,126,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_4ZoANqBWGZ4sYXX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,Yes,IM_8wCDeTdgCWcZdL7,"i mostly selected the color based pilot, then selected each plane 2-3 times each. I then made my choices based on those first selections.","Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Decided which pilot was flying based on whether or not you received treasure,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew,Other",Just right,Fine
2018-08-02 14:55:43,2018-08-02 16:22:47,IP Address,128.122.114.135,100,5223,True,2018-08-02 16:22:47,R_3CDuBf8HFR0CbgC,,,,,40.731704711914,-73.988502502441,anonymous,EN,124,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_eQaHAXU7QfllDs9," I didn't really have a strategy.","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew",Just right,A little boring
2018-08-02 16:31:29,2018-08-02 17:35:56,IP Address,128.122.114.135,100,3866,True,2018-08-02 17:35:56,R_3nOEerppMAmJN23,,,,,40.731704711914,-73.988502502441,anonymous,EN,125,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,No,,I saw if there was a pattern with the islands that the pilot was visiting and tried to match that information with the way each pilot liked to fly around the islands.,"Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.",Hard,Fine
2018-08-03 08:04:16,2018-08-03 09:13:46,IP Address,128.122.114.135,100,4170,True,2018-08-03 09:13:46,R_DhGCoHslNHn2sdb,,,,,40.731704711914,-73.988502502441,anonymous,EN,123,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,"I would click on the color plane that wouldn't go to the routes next stop, and after doing that a couple times I could tell which pilot it was.","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.",Just right,A little boring
2018-08-03 09:59:33,2018-08-03 11:18:26,IP Address,216.165.95.165,100,4732,True,2018-08-03 11:18:26,R_eevHBY4EvseRFu1,,,,,40.731704711914,-73.988502502441,anonymous,EN,128,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,No,,Always choose the location farthest away,"Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.,Chose the same color plane over and over again",Easy,Fine
2018-08-03 12:05:22,2018-08-03 13:31:50,IP Address,128.122.114.135,100,5188,True,2018-08-03 13:31:51,R_RePa5i2c8Y4NtE5,,,,,40.731704711914,-73.988502502441,anonymous,EN,MonCon120,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_8wCDeTdgCWcZdL7,I only tried checking 2 colors because the 3rd one was automatically the remaining one,"Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.,Decided which pilot was flying based on whether or not you received treasure,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew",Just right,Fine
2018-08-03 11:51:36,2018-08-03 13:35:47,IP Address,216.165.95.145,100,6250,True,2018-08-03 13:35:48,R_W3higJNvbPVzaN3,,,,,40.731704711914,-73.988502502441,anonymous,EN,131,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,Yes,IM_eQaHAXU7QfllDs9,"i remembered it as V L P
","Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.",Just right,A little fun
2018-08-03 13:57:14,2018-08-03 14:53:31,IP Address,216.165.95.145,100,3376,True,2018-08-03 14:53:31,R_2ciHGfJeBr0RkhK,,,,,40.731704711914,-73.988502502441,anonymous,EN,141,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,No,,To go with the island order so that it makes it easier if the plane is flying somewhere else it is by destination rather than color and vice versa.,"Tested to see if the islands were following the particular route. If the islands were following this pattern, then the route pilot was flying. If not, the color pilot was flying.,Tested to see if a plane flew to a particular island based on the color of the plane. If the plane flew to that island, then the color pilot was flying. If the plane did not go to that island, then the route pilot was flying.,Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.,Decided which pilot was flying based on whether or not you received treasure,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew",Easy,Very fun
2018-08-03 14:02:45,2018-08-03 15:47:22,IP Address,128.122.114.135,100,6276,True,2018-08-03 15:47:22,R_2Pj1X8SfgyWzNWr,,,,,40.731704711914,-73.988502502441,anonymous,EN,MonCon102,IM_5byiwnyUq5SkLdP,IM_cGSlDZHr9rAvI1v,IM_20tjmbukTsjjNNX,IM_20tjmbukTsjjNNX,IM_3lYM1VFNuPNWWwJ,IM_4ZoANqBWGZ4sYXX,No,,"I  made it so that there would only be two options, and then i would know which pilot is flying. for example, if i were on the volcano, i would choose pink, and if it brought me to the lighthouse, it would be the picture pilot, and if brought me to the trees then it would be the color pilot.","Chose the plane color that would not take you to the next island in the particular route to confirm which pilot was flying.,Remembered the destination of two planes for the color pilot and could then figure out where the third plane flew",Just right,Fine
